algorithm,language,sample,time
quick,c,0,0.002335
quick,c,1,0.001912
quick,c,2,0.001896
quick,c,3,0.001891
quick,c,4,0.002141
quick,c,5,0.002188
quick,c,6,0.001940
quick,c,7,0.001899
quick,c,8,0.001884
quick,c,9,0.002111
quick,c,10,0.001900
quick,c,11,0.001907
quick,c,12,0.001879
quick,c,13,0.001871
quick,c,14,0.002167
quick,c,15,0.002047
quick,c,16,0.002051
quick,c,17,0.001958
quick,c,18,0.002431
quick,c,19,0.001954
quick,c,20,0.001896
quick,c,21,0.001911
quick,c,22,0.002422
quick,c,23,0.002324
quick,c,24,0.001928
quick,c,25,0.001895
quick,c,26,0.001898
quick,c,27,0.001889
quick,c,28,0.002296
quick,c,29,0.001929
quick,c,30,0.001927
quick,c,31,0.001889
quick,c,32,0.001877
quick,c,33,0.002298
quick,c,34,0.001919
quick,c,35,0.001878
quick,c,36,0.001896
quick,c,37,0.001913
quick,c,38,0.002288
quick,c,39,0.001903
quick,c,40,0.001889
quick,c,41,0.001909
quick,c,42,0.001926
quick,c,43,0.002249
quick,c,44,0.001956
quick,c,45,0.001893
quick,c,46,0.001897
quick,c,47,0.001885
quick,c,48,0.002266
quick,c,49,0.001935
quick,c,50,0.001947
quick,c,51,0.001875
quick,c,52,0.001919
quick,c,53,0.002264
quick,c,54,0.001973
quick,c,55,0.001875
quick,c,56,0.001904
quick,c,57,0.001890
quick,c,58,0.002313
quick,c,59,0.001919
quick,c,60,0.001962
quick,c,61,0.001879
quick,c,62,0.001896
quick,c,63,0.002300
quick,c,64,0.001947
quick,c,65,0.001958
quick,c,66,0.001901
quick,c,67,0.001887
quick,c,68,0.002305
quick,c,69,0.001909
quick,c,70,0.001959
quick,c,71,0.001887
quick,c,72,0.001878
quick,c,73,0.002305
quick,c,74,0.001924
quick,c,75,0.001877
quick,c,76,0.001910
quick,c,77,0.001871
quick,c,78,0.002313
quick,c,79,0.001916
quick,c,80,0.001901
quick,c,81,0.001893
quick,c,82,0.001891
quick,c,83,0.002312
quick,c,84,0.001876
quick,c,85,0.001962
quick,c,86,0.001910
quick,c,87,0.001886
quick,c,88,0.001978
quick,c,89,0.001873
quick,c,90,0.002202
quick,c,91,0.001976
quick,c,92,0.001955
quick,c,93,0.002056
quick,c,94,0.001897
quick,c,95,0.001897
quick,c,96,0.001893
quick,c,97,0.001898
